Date Time,Baudrate,Data analog1,Data analog2
2020 06 12 22:21:48,115200,72,72
2020 06 12 22:21:48,115200,72,72
2020 06 12 22:21:48,115200,72,72
2020 06 12 22:21:48,115200,72,72
2020 06 12 22:21:49,115200,72,72
2020 06 12 22:21:49,115200,72,72
2020 06 12 22:21:49,115200,72,72
2020 06 12 22:21:49,115200,72,72
2020 06 12 22:21:49,115200,72,72
2020 06 12 22:21:49,115200,72,72
2020 06 12 22:21:49,115200,72,72
2020 06 12 22:21:50,115200,72,72
2020 06 12 22:21:50,115200,72,72
2020 06 12 22:21:51,115200,72,72
2020 06 12 22:21:51,115200,72,72
2020 06 12 22:21:52,115200,72,72
2020 06 12 22:21:52,115200,72,72
2020 06 12 22:21:53,115200,72,72
2020 06 12 22:21:53,115200,72,72
2020 06 12 22:21:54,115200,72,72
2020 06 12 22:21:54,115200,72,72
2020 06 12 22:21:55,115200,72,72
2020 06 12 22:21:55,115200,72,72
2020 06 12 22:21:56,115200,72,72
2020 06 12 22:21:56,115200,72,72
2020 06 12 22:21:57,115200,72,72
2020 06 12 22:21:57,115200,72,72
2020 06 12 22:21:58,115200,72,72
2020 06 12 22:21:58,115200,72,72
2020 06 12 22:21:59,115200,72,72
2020 06 12 22:21:59,115200,72,72
2020 06 12 22:22:00,115200,72,72
2020 06 12 22:22:00,115200,72,72
2020 06 12 22:22:01,115200,72,72
2020 06 12 22:22:01,115200,72,72
2020 06 12 22:22:02,115200,72,72
2020 06 12 22:22:02,115200,72,72
2020 06 12 22:22:03,115200,72,72
2020 06 12 22:22:03,115200,72,72
2020 06 12 22:22:04,115200,72,72
2020 06 12 22:22:04,115200,72,72
2020 06 12 22:22:05,115200,72,72
2020 06 12 22:22:05,115200,72,72
2020 06 12 22:22:06,115200,72,72
2020 06 12 22:22:06,115200,72,72
2020 06 12 22:22:07,115200,72,72
2020 06 12 22:22:07,115200,72,72
2020 06 12 22:22:08,115200,72,72
2020 06 12 22:22:08,115200,72,72
2020 06 12 22:22:09,115200,72,72
2020 06 12 22:22:09,115200,72,72
